Units,observationPeriods,ScalingFactors,NumPlaces,MinDate,MeasurementMethods,StatVar
[USDollar],[P1Y],[],12,1988,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryCIV
[USDollar],[P1Y],[],11,2012,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderWorldTradeOrganization
[USDollar],[P1Y],[],7,1988,[],AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryZWE
[USDollar],[P1Y],[],11,1978,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryBRB
[USDollar],[P1Y],[],99,1970,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryBEL
[USDollar],[P1Y],[],41,1972,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryBRA
[USDollar],[P1Y],[],16,1970,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCouncilofEurope
[USDollar],[P1Y],[],7,1995,[],AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryBRN
[USDollar],[P1Y],[],11,1970,[],AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryZWE
[USDollar],[P1Y],[],8,2024,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryCIV
[USDollar],[P1Y],[],6,1978,[],AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountryGAB
[USDollar],[P1Y],[],17,1984,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCentralBankofWestAfricanStates
[USDollar],[P1Y],[],6,2013,[],AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryGRD
[USDollar],[P1Y],[],13,2013,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCaribbeanCommunity
[USDollar],[P1Y],[],20,1970,[],AmountPrincipalRepayment_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountrySUN
[USDollar],[P1Y],[],13,1970,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryIDN
[USDollar],[P1Y],[],11,2011,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderEurasianDevelopmentBank
[USDollar],[P1Y],[],6,2025,[WorldBankProjection],AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountryBLZ
[USDollar],[P1Y],[],7,2023,"[, WorldBankProjection]",AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_WorldBankOtherPrivate_LongTermExternalDebt_LenderCountryLKA
