place_name,prop,dcid
afghanistan,observationAbout,country/AFG
albania,observationAbout,country/ALB
algeria,observationAbout,country/DZA
angola,observationAbout,country/AGO
argentina,observationAbout,country/ARG
armenia,observationAbout,country/ARM
azerbaijan,observationAbout,country/AZE
bangladesh,observationAbout,country/BGD
belarus,observationAbout,country/BLR
belize,observationAbout,country/BLZ
benin,observationAbout,country/BEN
bhutan,observationAbout,country/BTN
bolivia,observationAbout,country/BOL
bosnia and herzegovina,observationAbout,country/BIH
botswana,observationAbout,country/BWA
brazil,observationAbout,country/BRA
bulgaria,observationAbout,country/BGR
burkina faso,observationAbout,country/BFA
burundi,observationAbout,country/BDI
cabo verde,observationAbout,country/CPV
cambodia,observationAbout,country/KHM
cameroon,observationAbout,country/CMR
central african republic,observationAbout,country/CAF
chad,observationAbout,country/TCD
china,observationAbout,country/CHN
colombia,observationAbout,country/COL
comoros,observationAbout,country/COM
congo dem rep,observationAbout,country/COD
congo rep,observationAbout,country/COG
costa rica,observationAbout,country/CRI
cote d ivoire,observationAbout,country/CIV
djibouti,observationAbout,country/DJI
dominica,observationAbout,country/DMA
dominican republic,observationAbout,country/DOM
east asia pacific excluding high income,observationAbout,dcid:EastAsiaAndPacificExcludingHighIncome
ecuador,observationAbout,country/ECU
egypt arab rep,observationAbout,country/EGY
el salvador,observationAbout,country/SLV
eritrea,observationAbout,country/ERI
eswatini,observationAbout,country/SWZ
ethiopia,observationAbout,country/ETH
europe central asia excluding high income,observationAbout,dcid:EuropeAndCentralAsiaExcludingHighIncome
fiji,observationAbout,country/FJI
gabon,observationAbout,country/GAB
gambia the,observationAbout,country/GMB
georgia,observationAbout,country/GEO
ghana,observationAbout,country/GHA
grenada,observationAbout,country/GRD
guatemala,observationAbout,country/GTM
guinea,observationAbout,country/GIN
guinea-bissau,observationAbout,country/GNB
guyana,observationAbout,country/GUY
haiti,observationAbout,country/HTI
honduras,observationAbout,country/HND
ida only,observationAbout,dcid:InternationalDevelopmentAssociation
ida total,observationAbout,dcid:InternationalDevelopmentAssociationTotal
india,observationAbout,country/IND
indonesia,observationAbout,country/IDN
iran islamic rep,observationAbout,country/IRN
iraq,observationAbout,country/IRQ
jamaica,observationAbout,country/JAM
jordan,observationAbout,country/JOR
kazakhstan,observationAbout,country/KAZ
kenya,observationAbout,country/KEN
kosovo,observationAbout,country/XKX
kyrgyz republic,observationAbout,country/KGZ
lao pdr,observationAbout,country/LAO
latin america caribbean excluding high income,observationAbout,dcid:LatinAmericaAndCaribbeanExcludingHighIncome
least developed countries un classification,observationAbout,dcid:undata-geo/G00404000
lebanon,observationAbout,country/LBN
lesotho,observationAbout,country/LSO
liberia,observationAbout,country/LBR
low income,observationAbout,dcid:undata-geo/G00100600
low middle income,observationAbout,dcid:undata-geo/G00100200
lower middle income,observationAbout,dcid:undata-geo/G00100500
madagascar,observationAbout,country/MDG
malawi,observationAbout,country/MWI
maldives,observationAbout,country/MDV
mali,observationAbout,country/MLI
mauritania,observationAbout,country/MRT
mauritius,observationAbout,country/MUS
mexico,observationAbout,country/MEX
middle east north africa afghanistan pakistan excluding high income,observationAbout,dcid:MiddleEastNorthAfricaAfghanistanAndPakistanExcludingHighIncome
middle east north africa excluding high income,observationAbout,dcid:MiddleEastAndNorthAfricaExcludingHighIncome
middle income,observationAbout,dcid:MiddleIncomeCountries
moldova,observationAbout,country/MDA
mongolia,observationAbout,country/MNG
montenegro,observationAbout,country/MNE
morocco,observationAbout,country/MAR
mozambique,observationAbout,country/MOZ
myanmar,observationAbout,country/MMR
nepal,observationAbout,country/NPL
nicaragua,observationAbout,country/NIC
niger,observationAbout,country/NER
nigeria,observationAbout,country/NGA
north macedonia,observationAbout,country/MKD
pakistan,observationAbout,country/PAK
papua new guinea,observationAbout,country/PNG
paraguay,observationAbout,country/PRY
peru,observationAbout,country/PER
philippines,observationAbout,country/PHL
russian federation,observationAbout,country/RUS
rwanda,observationAbout,country/RWA
samoa,observationAbout,country/WSM
sao tome and principe,observationAbout,country/STP
senegal,observationAbout,country/SEN
serbia,observationAbout,country/SRB
sierra leone,observationAbout,country/SLE
solomon islands,observationAbout,country/SLB
somalia,observationAbout,country/SOM
south africa,observationAbout,country/ZAF
south asia,observationAbout,dcid:SouthAsia
sri lanka,observationAbout,country/LKA
st lucia,observationAbout,country/LCA
st vincent and the grenadines,observationAbout,country/VCT
sub-saharan africa excluding high income,observationAbout,dcid:SubSaharanAfricaExcludingHighIncome
sudan,observationAbout,country/SDN
suriname,observationAbout,country/SUR
syrian arab republic,observationAbout,country/SYR
tajikistan,observationAbout,country/TJK
tanzania,observationAbout,country/TZA
thailand,observationAbout,country/THA
timor-leste,observationAbout,country/TLS
togo,observationAbout,country/TGO
tonga,observationAbout,country/TON
tunisia,observationAbout,country/TUN
turkiye,observationAbout,country/TUR
turkmenistan,observationAbout,country/TKM
uganda,observationAbout,country/UGA
ukraine,observationAbout,country/UKR
upper middle income,observationAbout,dcid:undata-geo/G00100400
uzbekistan,observationAbout,country/UZB
vanuatu,observationAbout,country/VUT
viet nam,observationAbout,country/VNM
vietnam,observationAbout,country/VNM
yemen rep,observationAbout,country/YEM
zambia,observationAbout,country/ZMB
zimbabwe,observationAbout,country/ZWE
